"ID","POP_Densit","Area_Tot_Cor","YearBuilt","Hage","TotalValua","NumberOfSt","TotalGross","yd","MEDIANAGE","medINC","perVAC","perMIN","perMAR","SaleYear","dur","Loc","stoCloc_at10","stoNloc_at10","stoCloc_at20","stoNloc_at20","stoCloc_at30","stoNloc_at30","stoCloc_at40","stoNloc_at40","stoCloc_at50","stoNloc_at50"
23,1709,0.1,1950,64,208300,1.75,256.783892,0.0986368003475157,40,60139,1,0,0.166666667,2013,1,"Front",26642.3509488595,1851.72037706938,17341.2839403135,1150.19084614787,15969.5347187337,1157.1309581747,3551.40923570962,258.64533525024,NA,NA
23,1709,0.1,1950,64,208300,1.75,256.783892,0.0986368003475157,40,60139,1,0,0.166666667,2013,1,"Back",27914.7327429231,1986.55875866873,25540.1670493365,1764.58955150232,13420.949387552,889.857082741325,4963.04689081039,288.806407877862,NA,NA
18,1934,NA,1965,49,NA,2,19587.66852,NA,30,66810,0.851546392,0.135770235,0.319612591,NA,NA,"Back",24631.3953398506,1614.50259578588,31448.5017908493,1605.15141384699,23515.9180096449,1209.20317188881,NA,NA,NA,NA
18,1934,NA,1965,49,NA,2,19587.66852,NA,30,66810,0.851546392,0.135770235,0.319612591,NA,NA,"Front",24944.2743783557,1336.48381421131,25232.9271247719,1578.60263094307,24606.6739922259,1294.80588514148,NA,NA,NA,NA
27,1926,0.08,1945,69,188500,1,268.675476,0.0775039242253172,55,60139,0.928571429,0.038461538,0.384615385,2004,10,"Back",40972.3509450145,2878.53209187238,20754.4360686995,1433.13911198797,18447.8674555729,1142.07095819691,15008.6681189927,1023.69387908339,13077.7579835723,989.457917272917
27,1926,0.08,1945,69,188500,1,268.675476,0.0775039242253172,55,60139,0.928571429,0.038461538,0.384615385,2004,10,"Front",36685.5957486953,2662.65209277152,15197.0314667911,1112.74246399335,15733.9420202742,960.045735907864,NA,NA,NA,NA
1,1123,0.12,1957,57,197100,1,282.982538,0.117371007327219,50,86538,0.981818182,0.031007752,0.555555556,1983,31,"Back",17941.8950203681,1239.68019048802,16534.0885404789,1138.33721698668,5224.43387924512,352.595322063117,NA,NA,NA,NA
1,1123,0.12,1957,57,197100,1,282.982538,0.117371007327219,50,86538,0.981818182,0.031007752,0.555555556,1983,31,"Front",14036.4896229564,1068.41991358804,18053.5140992688,1165.58458147117,5035.57935206457,738.340585772784,NA,NA,NA,NA
22,3552,0.36,2005,9,327400,1,5798,0.3061348406,28,59172,0.943939394,0.156321839,0.30176565,2005,9,"Front",11115.400085102,654.789649615948,19918.711681123,1077.03183892039,NA,NA,NA,NA,NA,NA
22,3552,0.36,2005,9,327400,1,5798,0.3061348406,28,59172,0.943939394,0.156321839,0.30176565,2005,9,"Back",16138.0363688561,990.679065130241,19402.9053142913,1262.61419287352,NA,NA,NA,NA,NA,NA
6,1415,0.15,1950,64,202500,1,308.066348,0.147137971207176,53,60568,1,0,0.685714286,2003,11,"Back",23881.3484716546,1905.69475884142,14213.8790239475,1117.76571122276,3863.27811138876,293.919822476737,NA,NA,NA,NA
6,1415,0.15,1950,64,202500,1,308.066348,0.147137971207176,53,60568,1,0,0.685714286,2003,11,"Front",32091.5719551576,2564.64312607382,9319.01112075319,825.185041036693,7294.69051649445,457.599523711308,NA,NA,NA,NA
17,2859,0.06,1965,49,191200,1,3127,0.0309492319,64,60667,1,0,0.466666667,2002,12,"Front",21583.0654413085,1340.80544370905,22047.7450164336,1743.73060488091,12566.9670639252,858.118798979266,2043.49291630011,233.388660497382,NA,NA
17,2859,0.06,1965,49,191200,1,3127,0.0309492319,64,60667,1,0,0.466666667,2002,12,"Back",19412.9723419274,1602.95688176649,22105.8348655791,1587.84393019237,13250.0357302581,840.406367932877,5632.3993391312,383.72110497479,6253.49378818356,386.007753243351
24,3552,0.46,2005,9,390600,1,4721,0.4161404937,28,59172,0.943939394,0.156321839,0.30176565,2010,4,"Front",16629.6469281694,1037.01079527002,30667.7336155142,1758.12968767267,NA,NA,NA,NA,NA,NA
24,3552,0.46,2005,9,390600,1,4721,0.4161404937,28,59172,0.943939394,0.156321839,0.30176565,2010,4,"Back",26836.3462159923,1630.60514919965,34707.4087712017,2267.37916150117,NA,NA,NA,NA,NA,NA
16,2364,0.05,1980,34,193900,1.75,200.67048,0.0489346920226606,37,41944,0.912280702,0.125475285,0.375,1992,22,"Front",27593.129180308,1607.21634849664,21567.576808057,1295.44648314337,19767.8904166722,1386.8789395759,28654.4809610192,1611.43966483462,NA,NA
16,2364,0.05,1980,34,193900,1.75,200.67048,0.0489346920226606,37,41944,0.912280702,0.125475285,0.375,1992,22,"Back",26372.2855529238,1510.33054418782,20562.9040551662,1269.4947015913,17734.4358058074,1057.08967676282,23737.8248281594,1350.45830624237,NA,NA
25,2375,0.08,1983,31,216600,1,2380,0.057889086,46,73641,0.964285714,0,0.703703704,2014,0,"Front",28915.4616972936,1939.84219236191,20076.5917868177,1664.68879975393,11448.7065714197,913.276228078517,NA,NA,NA,NA
25,2375,0.08,1983,31,216600,1,2380,0.057889086,46,73641,0.964285714,0,0.703703704,2014,0,"Back",18481.6733226311,1369.64592620018,16607.1888057621,1464.95516313731,9910.75735150461,718.610006792657,NA,NA,NA,NA
21,4455,0.15,1891,123,343500,2,5800,0.12305813,40,57222,1,0.085106383,0.277777778,2012,2,"Front",29244.2644772889,1837.2607701426,34281.276967846,2019.29963754414,23434.3049298389,1209.57032787289,15553.4337551859,974.181139918931,27808.3332264833,1516.5085868075
21,4455,0.15,1891,123,343500,2,5800,0.12305813,40,57222,1,0.085106383,0.277777778,2012,2,"Back",36270.9422661581,2281.26100985859,33040.7154235394,1696.71114122832,25409.3739719725,1421.99733248857,29805.7989455429,1688.65049134476,21747.7891078613,1177.96752780391
15,1787,0.13,1963,51,248900,1.75,3083,0.113633145771429,39,115368,0.961722488,0.042682927,0.512437811,2002,12,"Back",24564.8280493715,1312.00250851266,31630.4943253628,2060.29854461597,14396.0634705516,949.836617410215,8614.82018536904,536.489960157737,NA,NA
15,1787,0.13,1963,51,248900,1.75,3083,0.113633145771429,39,115368,0.961722488,0.042682927,0.512437811,2002,12,"Front",29621.9745546573,2145.02973533341,15981.5896654263,1478.87685994829,7079.43121941572,479.05285088892,NA,NA,NA,NA
5,2331,0.09,1960,54,169100,1,221.480752,0.0879423773696944,47,70400,0.941176471,0,0.375,2008,6,"Back",37009.9479732891,2219.60084898296,37658.7429813533,1539.37214172561,33025.4014740567,1019.53856456303,NA,NA,NA,NA
5,2331,0.09,1960,54,169100,1,221.480752,0.0879423773696944,47,70400,0.941176471,0,0.375,2008,6,"Front",49412.0220655757,2568.65833073516,41521.1146134347,1226.90328100126,21979.43175305,646.998513534419,NA,NA,NA,NA
11,5971,0.14,1920,94,226500,1.5,423.730583,0.137375610509837,29,58148,0.934065934,0.281179138,0.180392157,2005,9,"Front",27946.3927790906,1983.75762351132,14401.9173858113,880.780738961658,18952.2761145908,1090.04795734039,17181.3712493476,988.895490701011,NA,NA
11,5971,0.14,1920,94,226500,1.5,423.730583,0.137375610509837,29,58148,0.934065934,0.281179138,0.180392157,2005,9,"Back",30620.0024549969,2301.32590249868,32240.9189975755,2329.78916031545,9444.01840183726,650.397841347828,5139.20296805625,358.067899496576,8043.50892318028,507.61833095167
33,745,0.11,1930,84,181000,1.5,3047,0.0911283039333333,42,75513,0.961538462,0,0.72,1998,16,"Front",53243.0205979085,2839.18303378742,41817.3989023889,1702.75884521507,39048.9711523001,1471.0049711484,18920.5701135987,891.916767005277,NA,NA
33,745,0.11,1930,84,181000,1.5,3047,0.0911283039333333,42,75513,0.961538462,0,0.72,1998,16,"Back",42751.2053505646,2265.13708919357,34200.7113037678,1647.73053285518,24290.9831789738,1095.02759331047,15586.8158696918,825.541265698782,12796.6626461107,749.709243451449
3,3198,0.08,1951,63,182900,1,2533,0.0564676701,42,70400,1,0.107526882,0.4,2008,6,"Back",19966.5040642213,1546.61232399981,22504.9160426553,1931.52456250952,10670.9327722498,770.447293276365,NA,NA,NA,NA
3,3198,0.08,1951,63,182900,1,2533,0.0564676701,42,70400,1,0.107526882,0.4,2008,6,"Front",24366.5730487756,1981.50932943044,20403.2020376925,1586.30188297978,13667.8598511163,857.702248052,NA,NA,NA,NA
29,3716,0.06,1964,50,181900,1,230.39944,0.057859520082568,39,60139,0.785714286,0.103448276,0.909090909,1998,16,"Back",33790.5911034272,2233.84378962183,13009.4518721042,961.157870580585,2690.04881396816,193.504130453342,NA,NA,NA,NA
29,3716,0.06,1964,50,181900,1,230.39944,0.057859520082568,39,60139,0.785714286,0.103448276,0.909090909,1998,16,"Front",34751.5008452361,2372.50975629114,15640.1723959462,1196.22883100297,16021.0741111162,1152.65577704646,8420.26337388841,692.422993244965,16135.5575382943,1004.62202166266
30,58,0.06,1963,51,166900,1,2544,0.0363654768,45,55781,0.875,0.046153846,0.571428571,2011,3,"Front",37100.3797114487,2197.82354304523,31628.8846330668,1987.99085162367,45522.8117476516,2372.04928550669,33029.8296725225,1668.17304846717,19654.7399885152,986.748489747162
