"ID","Depth.Fraction","perC","perN","BD","stoC","stoN"
23,"0 to 10",0.0267230864444444,0.001887624,1.03428152733333,27490.6054782352,1941.61263146895
23,"20 to 30",0.0114900991111111,0.000786343833333333,1.241335285,14270.4778312792,978.948374552451
23,"30 to 40",0.00712240375,0.0004796855,0.963445398,4257.22806326001,273.725871564051
23,"10 to 20",0.0188624139722222,0.00128782255555556,1.19003462533333,22807.2060129955,1559.78998305084
23,"40 to 50",NA,NA,NA,NA,NA
18,"20 to 30",0.016175807,0.000838388111111111,1.47479010433333,23879.5033371719,1237.7374096397
18,"40 to 50",NA,NA,NA,NA,NA
18,"0 to 10",0.0213211912777778,0.00131152077777778,1.16020693833333,24735.6883526857,1521.82966859436
18,"30 to 40",NA,NA,NA,NA,NA
18,"10 to 20",0.0194389616666667,0.00106230422222222,1.50447381566667,29376.6435688235,1596.30181954569
27,"10 to 20",0.0176091404444444,0.001235313,1.07270663066667,18901.9678680634,1326.3402293231
27,"20 to 30",0.0151779915555556,0.000936243888888889,1.19487175733333,17543.2256438067,1081.39588410056
27,"30 to 40",0.0105324333333333,0.000718418166666667,1.424015985,15008.6681189927,1023.69387908339
27,"40 to 50",0.008258075,0.0006188275,1.6043334235,13077.7579835723,989.457917272917
27,"0 to 10",0.0410104532222222,0.002909448,0.966398960666667,39543.4325462414,2806.57209217209
1,"20 to 30",0.00607241655555556,0.000571707138888889,0.890134941333333,5161.48237018493,481.177076633006
1,"30 to 40",NA,NA,NA,NA,NA
1,"0 to 10",0.018631769,0.00132226688888889,0.899487202333333,16640.0932212309,1182.59343152136
1,"10 to 20",0.0121736043333333,0.000818663944444444,1.404340654,17040.5637267422,1147.41967181485
1,"40 to 50",NA,NA,NA,NA,NA
22,"40 to 50",NA,NA,NA,NA,NA
22,"30 to 40",NA,NA,NA,NA,NA
22,"0 to 10",0.0170274463888889,0.00103613294444444,0.872715917333333,14463.8242742714,878.715926625477
22,"20 to 30",NA,NA,NA,NA,NA
22,"10 to 20",0.0157536071111111,0.000975012166666667,1.24931977533333,19574.8407699018,1200.75340822248
6,"10 to 20",0.0116964495555556,0.000950064027777778,1.068922122,12582.2563895494,1020.23882116074
6,"0 to 10",0.0321909377777778,0.00257988533333333,0.819477753333333,26618.0896328223,2125.34421458555
6,"40 to 50",NA,NA,NA,NA,NA
6,"20 to 30",0.0108666457777778,0.000769020555555556,0.91630187,5007.08224642399,348.479722888261
6,"30 to 40",NA,NA,NA,NA,NA
17,"30 to 40",0.00484519033333333,0.000448560116666667,1.31070834533333,4436.0971981875,333.610290148988
17,"40 to 50",0.00372812233333333,0.00022905375,2.255102307,6253.49378818356,386.007753243351
17,"20 to 30",0.0123647928888889,0.000804835222222222,1.05452864833333,13022.3461748138,846.310511615007
17,"10 to 20",0.0173661195,0.00128811502777778,1.27816842666667,22086.4715825306,1639.80615508855
17,"0 to 10",0.0325132903333333,0.002442567,0.619976558166667,20136.3367083878,1515.57306908068
24,"20 to 30",NA,NA,NA,NA,NA
24,"10 to 20",0.0303835505555556,0.00185794955555556,1.06146005833333,33360.8503859726,2097.62933689167
24,"30 to 40",NA,NA,NA,NA,NA
24,"40 to 50",NA,NA,NA,NA,NA
24,"0 to 10",0.0458817456666667,0.00273506008333333,0.544459157,23434.1131200514,1432.74036455644
16,"20 to 30",0.0146765487777778,0.000928468777777778,1.25385707233333,18412.254009429,1167.01943103385
16,"0 to 10",0.0273706438888889,0.001580203,0.985436684,26779.2334287186,1542.62581229076
16,"10 to 20",0.0170668152777778,0.00105303188888889,1.232186647,20897.7949727964,1278.14529544199
16,"30 to 40",0.0206256923333333,0.00116670588888889,1.24050845233333,25376.7102057793,1437.45209243979
16,"40 to 50",NA,NA,NA,NA,NA
25,"40 to 50",NA,NA,NA,NA,NA
25,"10 to 20",0.0161901773333333,0.00138471044444444,1.10705104666667,17763.656466114,1531.53304200952
25,"30 to 40",NA,NA,1.263861339,NA,NA
25,"0 to 10",0.0281729513333333,0.00201563111111111,0.76864193,21959.6027808519,1559.71134825409
25,"20 to 30",0.0116259072222222,0.000868988777777778,1.17130839233333,10423.4070914763,783.498747221277
8,"20 to 30",NA,NA,NA,NA,NA
8,"40 to 50",NA,NA,NA,NA,NA
8,"0 to 10",NA,NA,NA,NA,NA
8,"10 to 20",NA,NA,NA,NA,NA
8,"30 to 40",NA,NA,NA,NA,NA
21,"40 to 50",0.0178534568888889,0.000971425666666667,1.32996683166667,23767.9704807353,1290.81454747177
21,"0 to 10",0.0440124208888889,0.00276730033333333,0.773430156333333,33928.7163365351,2133.26092995326
21,"30 to 40",0.02074286975,0.00120119083333333,1.168310723,25055.0105487573,1450.49404086948
21,"10 to 20",0.0309757408055556,0.00166026644444444,1.087589622,33454.2359383083,1804.24064000026
21,"20 to 30",0.0253288543333333,0.00138417755555556,1.04276787633333,24751.0176245946,1351.18833095001
15,"20 to 30",0.00987500555555556,0.000654219777777778,1.31581253433333,11957.1860535063,792.90869523645
15,"30 to 40",0.006852558,0.000426744666666667,1.257168518,8614.82018536904,536.489960157737
15,"40 to 50",NA,NA,NA,NA,NA
15,"10 to 20",0.0269539478888889,0.00191439683333333,0.970841644666667,26414.1927720507,1866.49131639341
15,"0 to 10",0.0398231613333333,0.00241703788888889,0.659831136666667,26250.5435511334,1589.67825078625
5,"0 to 10",0.0432017238888889,0.002455483,0.950783748666667,41143.972670718,2335.95334290036
