"ID","Loc","POP_Densit","Area_Tot_Cor","YearBuilt","Hage","TotalValua","NumberOfSt","TotalGross","yd","MEDIANAGE","medINC","perVAC","perMIN","perMAR","SaleYear","dur","Hard","Con","cabio","Cseqha","perHbio"
36,"FY",3269,0.08,1985,29,209300,1,2216,0.0594126952,45,30588,1,0.305555556,0.636363636,2003,11,0,13,220.609016342619,3713.16291240426,0
36,"BY",3269,0.08,1985,29,209300,1,2216,0.0594126952,45,30588,1,0.305555556,0.636363636,2003,11,3,23,1602.76824908542,26976.8648550624,3112.71517558413
6,"BY",1212,0.11,1955,59,185900,1.5,280.195448,0.108264600152964,60,86538,1,0,0.2,2000,14,4,2,338.890516062355,3130.20613925094,2086.80409283396
6,"FY",1212,0.11,1955,59,185900,1.5,280.195448,0.108264600152964,60,86538,1,0,0.2,2000,14,6,1,2442.38396926066,22559.3958303074,19336.6249974063
2,"BY",1123,0.15,1956,58,184300,1,240.804576,0.147762853247587,50,86538,0.981818182,0.031007752,0.555555556,2012,2,3,2,3435.70062057921,23251.4501789056,13950.8701073433
2,"FY",1123,0.15,1956,58,184300,1,240.804576,0.147762853247587,50,86538,0.981818182,0.031007752,0.555555556,2012,2,5,0,2766.46150258541,18722.3070060106,18722.3070060106
14,"BY",393,0.21,1968,46,168100,1,160.536384,0.208508568831725,38,61250,0.947976879,0.02238806,0.542682927,1997,17,4,10,9972.05634366548,47825.6428478647,13664.4693851042
13,"BY",2067,0.32,1865,149,231900,1.75,383.782293,0.317962598493338,35,61313,0.9875,0.176744186,0.46835443,2004,10,10,0,1156.95970016878,3638.66601182345,3638.66601182345
13,"FY",2067,0.32,1865,149,231900,1.75,383.782293,0.317962598493338,35,61313,0.9875,0.176744186,0.46835443,2004,10,2,0,18.4239418970917,57.9437392460411,57.9437392460411
9,"FY",1249,0.13,1920,94,232300,1.5,5074,0.0985740118666667,47,50116,0.727272727,0,0.375,1993,21,1,2,2170.14948568757,22015.4323091056,7338.47743636854
19,"FY",1578,0.2,1939,75,187400,1.5,269.790312,0.198329044709618,44,62500,1,0.058823529,0.565217391,2005,9,2,0,191.425461288509,965.191263683963,965.191263683963
19,"BY",1578,0.2,1939,75,187400,1.5,269.790312,0.198329044709618,44,62500,1,0.058823529,0.565217391,2005,9,3,0,26.9059021037237,135.662944089293,135.662944089293
10,"BY",898,0.19,1987,27,286300,2,3815,0.17227875275,47,50455,0.962962963,0.119402985,0.615384615,2010,4,4,0,1030.52208942734,5981.71320013423,5981.71320013423
20,"BY",2468,0.11,1910,104,190100,1.5,395.395168,0.107551106847153,39,71250,0.916666667,0.267857143,0.545454545,2014,0,1,0,1685.32051181445,15669.9504191022,15669.9504191022
20,"FY",2468,0.11,1910,104,190100,1.5,395.395168,0.107551106847153,39,71250,0.916666667,0.267857143,0.545454545,2014,0,0,2,28.7157211812108,266.996054461999,0
28,"BY",2835,0.11,1954,60,200000,1,292.087032,0.10728642384661,49,74038,1,0.055555556,0.785714286,2006,8,13,5,3597.8260704199,33534.7748710851,24219.559629117
35,"BY",985,0.1,1961,53,174100,1,2652,0.0753621244,34,74293,0.990825688,0.077777778,0.759259259,NA,NA,11,32,7718.88021752093,102423.867147791,26201.4543866443
35,"FY",985,0.1,1961,53,174100,1,2652,0.0753621244,34,74293,0.990825688,0.077777778,0.759259259,NA,NA,3,0,2448.76424591817,32493.3017137475,32493.3017137475
31,"FY",3683,0.13,1936,78,203400,1.75,310.853438,0.128349759031399,42,55781,1,0,0.722222222,2002,12,1,0,1113.6230835255,8676.47194610678,8676.47194610678
26,"FY",174,0.8,2006,8,364300,1,4564,0.7575990708,79,59172,0.743944637,0.08,0.255813953,2006,8,2,0,73.652079119131,97.2177527110175,97.2177527110175
26,"BY",174,0.8,2006,8,364300,1,4564,0.7575990708,79,59172,0.743944637,0.08,0.255813953,2006,8,3,3,76.7154202707159,101.261238599075,50.6306192995373
