"ID","POP_Densit","Area_Tot_Cor","YearBuilt","Hage","TotalValua","NumberOfSt","TotalGross","yd","MEDIANAGE","medINC","perVAC","perMIN","perMAR","SaleYear","dur","Hard","Con","cabio","fiac","Cseqha","perHbio","Sand","Silt","Clay"
3,3198,0.08,1951,63,182900,1,2533,0.0564676701,42,70400,1,0.107526882,0.4,2008,6,1,0,104.907577040435,"POL",1857.83434759485,1857.83434759485,16.455,5.835,77.71
3,3198,0.08,1951,63,182900,1,2533,0.0564676701,42,70400,1,0.107526882,0.4,2008,6,2,0,8988.87697347604,"SAW",159186.255738149,159186.255738149,16.455,5.835,77.71
29,3716,0.06,1964,50,181900,1,230.39944,0.057859520082568,39,60139,0.785714286,0.103448276,0.909090909,1998,16,1,0,5.48411452220624,"SAP",94.7832701408546,94.7832701408546,84.0883333333333,10,5.91
29,3716,0.06,1964,50,181900,1,230.39944,0.057859520082568,39,60139,0.785714286,0.103448276,0.909090909,1998,16,3,0,243.387321826828,"POL",4206.521614412,4206.521614412,84.0883333333333,10,5.91
30,58,0.06,1963,51,166900,1,2544,0.0363654768,45,55781,0.875,0.046153846,0.571428571,2011,3,1,0,375.903359079399,"SAW",10336.8192075897,10336.8192075897,14.665,5.55666666666667,79.7766666666667
30,58,0.06,1963,51,166900,1,2544,0.0363654768,45,55781,0.875,0.046153846,0.571428571,2011,3,1,0,192.112983679936,"POL",5282.83967611656,5282.83967611656,14.665,5.55666666666667,79.7766666666667
7,992,0.17,1980,34,293700,2,4103,0.15094094955,54,58148,1,0,0.666666667,2009,5,6,0,3665.36306454756,"SAW",24283.4239182614,24283.4239182614,20.4883333333333,0.055,79.455
7,992,0.17,1980,34,293700,2,4103,0.15094094955,54,58148,1,0,0.666666667,2009,5,1,0,13.4581256239846,"SAP",89.1615274987158,89.1615274987158,20.4883333333333,0.055,79.455
34,3126,0.06,1986,28,189700,1,2128,0.0402302416,37,74293,0.975609756,0.092436975,0.825,1998,16,1,1,6.29293414604011,"SAP",156.422976739968,78.2114883699842,13.455,8.945,77.6
34,3126,0.06,1986,28,189700,1,2128,0.0402302416,37,74293,0.975609756,0.092436975,0.825,1998,16,1,1,185.438166890669,"POL",4609.42215397159,2304.71107698579,13.455,8.945,77.6
